Dzien Miesiac Rok Godzina Minuta Sekunda Calkowite_CNR[mV] Odbite_CNR[mV] Dl_atmosfery_CNR[mV] Dl_ziemi_CNR[mV] Temperatura
24 10 2019 0 0 15 -0.04000 0.05870 -0.40700 -0.06010 11.19000 
24 10 2019 0 0 33 -0.03770 0.05780 -0.40680 -0.06130 11.21000 
24 10 2019 0 0 51 -0.03760 0.05750 -0.40880 -0.05950 11.21700 
24 10 2019 0 1 9 -0.03590 0.05690 -0.40890 -0.05960 11.23100 
24 10 2019 0 1 26 -0.03410 0.05390 -0.40870 -0.06060 11.24300 
24 10 2019 0 1 44 -0.03540 0.05060 -0.40920 -0.06170 11.24800 
24 10 2019 0 2 2 -0.03700 0.04970 -0.40930 -0.06160 11.26800 
24 10 2019 0 2 20 -0.04000 0.05110 -0.40750 -0.05750 11.29200 
24 10 2019 0 2 38 -0.03760 0.05660 -0.40660 -0.05790 11.30000 
24 10 2019 0 2 55 -0.03640 0.05390 -0.40600 -0.05960 11.30500 
24 10 2019 0 3 13 -0.03510 0.04960 -0.40730 -0.05820 11.31700 
24 10 2019 0 3 31 -0.04050 0.04660 -0.41030 -0.05760 11.33800 
24 10 2019 0 3 49 -0.04040 0.05040 -0.41050 -0.06040 11.34700 
24 10 2019 0 4 6 -0.04210 0.04800 -0.41160 -0.06170 11.34700 
24 10 2019 0 4 24 -0.04540 0.04880 -0.41200 -0.06050 11.36200 
24 10 2019 0 4 42 -0.04200 0.05320 -0.40930 -0.06230 11.37500 
24 10 2019 0 5 0 -0.04020 0.05250 -0.41120 -0.06260 11.38000 
24 10 2019 0 5 18 -0.03990 0.05110 -0.41140 -0.06560 11.38800 
24 10 2019 0 5 35 -0.04160 0.04690 -0.41060 -0.06500 11.38900 
24 10 2019 0 5 53 -0.04340 0.04450 -0.40910 -0.06330 11.39900 
24 10 2019 0 6 11 -0.04150 0.04200 -0.41150 -0.06070 11.41200 
24 10 2019 0 6 29 -0.03940 0.04160 -0.41340 -0.06140 11.43400 
24 10 2019 0 6 47 -0.04060 0.04090 -0.41330 -0.06090 11.45700 
24 10 2019 0 7 4 -0.03700 0.04030 -0.41390 -0.06060 11.48500 
24 10 2019 0 7 22 -0.03530 0.03880 -0.41300 -0.06320 11.50400 
24 10 2019 0 7 40 -0.03420 0.04030 -0.41480 -0.06610 11.50400 
24 10 2019 0 7 58 -0.04030 0.03900 -0.41470 -0.06420 11.52200 
24 10 2019 0 8 16 -0.04340 0.04100 -0.41590 -0.06500 11.52300 
24 10 2019 0 8 33 -0.04430 0.04280 -0.41440 -0.06510 11.54600 
24 10 2019 0 8 51 -0.04390 0.04260 -0.41510 -0.06430 11.55000 
24 10 2019 0 9 9 -0.04580 0.04240 -0.41450 -0.06360 11.55700 
24 10 2019 0 9 27 -0.04360 0.04370 -0.41270 -0.06290 11.55500 
24 10 2019 0 9 44 -0.04280 0.04410 -0.41260 -0.06290 11.57200 
24 10 2019 0 10 2 -0.04480 0.04450 -0.41580 -0.06300 11.58300 
24 10 2019 0 10 20 -0.04510 0.04710 -0.41600 -0.06420 11.59200 
24 10 2019 0 10 38 -0.04500 0.04540 -0.41470 -0.06380 11.61000 
24 10 2019 0 10 56 -0.04130 0.04530 -0.41500 -0.06210 11.63100 
24 10 2019 0 11 13 -0.03580 0.04570 -0.41510 -0.06020 11.64400 
24 10 2019 0 11 31 -0.03890 0.04560 -0.41700 -0.05840 11.65400 
24 10 2019 0 11 49 -0.04250 0.04580 -0.41790 -0.05860 11.67300 
